REF,PrimaryKey,Company,Launch Date,Launch Time,Launch Site,Temperature (Â° F),Wind speed (MPH),Humidity (%),Vehicle Type,Liftoff Thrust (kN),Payload to Orbit (kg),Rocket Height (m),Fairing Diameter (m),Payload Name,Payload Type,Payload Mass (kg),Payload Orbit,Mission Status,Failure Reason
1,Arianespace34669,Arianespace,12/01/94,22:57, Guiana Space Centre,NA,NA,NA,Ariane 42P,4334,2930,58.72,NA,Panamsat-3,Communication Satellite,2920,Geostationary Transfer Orbit,Failure,NA
2,Arianespace35220,Arianespace,06/04/96,12:34, Guiana Space Centre,NA,NA,NA,Ariane 5 G,11400,6900,52,NA,Cluster,European Space Agency spacecraft,NA,High Earth Orbit,Failure,"The Ariane 5 program's first launch failed because of a programming error. Range safety officers elected to destroy the rocket during the launch, according to the Ariane 5 Flight 501 failure report. Maiden flight of Ariane 5G"
3,Arianespace37601,Arianespace,12/11/02,22:22, Guiana Space Centre,77,0,94,Ariane 5 ECA,15120,21000,53,5.4,"Hot Bird 7, STENTOR",Communication Satellite,5480,Geostationary Transfer Orbit,Failure,"first stage engine failure, rocket destroyed by range safety."
4,Arianespace43657,Arianespace,07/11/19,1:53, Guiana Space Centre,73,0,94,Vega,2200,1436,29.9,2.6,Falcon Eye 1,optical reconnaissance system,1197,Low Earth Orbit,Failure,"anomaly occurred shortly after the planned second stage ignition, leading to a loss of the launch vehicle and its payload"
5,Boeing34947,Boeing,09/05/95,11:10,Cape Canaveral,84,10,60,Delta II 7925,3511,1819,38.1,2.9,Koreasat 1,Communication Satellite,711,Geostationary Transfer Orbit,Failure,"One SRB failed to separate, retarding the booster's orbital velocity."
6,Boeing35447,Boeing,01/17/97,16:28,Cape Canaveral,50,12,62,Delta II 7925,3511,1819,38.1,2.9,GPS IIR-1,Global Positioning System,2030,Medium Earth Orbit,Failure,Exploded 13 seconds after launch due to SRB failure.
7,Boeing36034,Boeing,08/27/98,1:17,Cape Canaveral,82,7,89,Delta III 8930,628,3810,35,4,Galaxy 10,Communication Satellite,700,Geostationary Transfer Orbit,Failure,"Flight program, adapted to the Delta II, and not to the Delta III"
8,Boeing36105,Boeing,11/06/98,13:37,Vandenberg ,55,13,80,Delta II 7920-10C,3511,4844,38.9,3,MS-11,Communication Satellite,NA,Low Earth Orbit,Success,
9,Boeing36121,Boeing,11/22/98,23:54,Cape Canaveral,77,12,70,Delta II 7925,3511,1819,38.1,2.9,BONUM-1,Communication Satellite,NA,Geostationary Transfer Orbit,Success,
10,Boeing36140,Boeing,12/11/98,18:45,Cape Canaveral,72,12,94,Delta II 7425,3020,1110,38.1,2.9,Mars Climate Orbiter,Robotic space probe,338,Heliocentric Orbit,Success,
11,Boeing36163,Boeing,01/03/99,20:21,Cape Canaveral,64,12,77,Delta II 7425,3020,1110,38.1,2.9,Mars Polar Lander,Robotic spacecraft lander,290,Heliocentric Orbit,Success,
12,Boeing36198,Boeing,02/07/99,21:04,Cape Canaveral,68,7,68,Delta II 7426,3020,1058,38.1,2.9,Stardust,Robotic space probe,305,Heliocentric Orbit,Success,
13,Boeing36214,Boeing,02/23/99,10:29,Vandenberg ,68,9,37,Delta II 7920-10,3511,4800,38.9,3,ARGOS (P91-1 ARGOS),Research Satellite,2450,Polar Orbit,Success,
14,Boeing36265,Boeing,04/15/99,18:32,Vandenberg ,58,0,78,Delta II 7920-10,3511,4800,38.9,3,Landsat 7,Research Satellite,2200,Sun-Synchronous Orbit,Success,
15,Boeing36285,Boeing,05/05/99,1:00,Cape Canaveral,70,8,64,Delta III 8930,628,3810,35,4,Orion 3,Communication Satellite,NA,Geostationary Transfer Orbit,Failure,Launch failed due to an anomaly on the second stage
16,Boeing36321,Boeing,06/10/99,13:48,Cape Canaveral,82,12,84,Delta II 7420-10C,3020,3099,38.9,3,Globalstar 3,Communication Satellite,550,Low Earth Orbit,Success,
17,Boeing36335,Boeing,06/24/99,15:44,Cape Canaveral,84,9,62,Delta II 7320-10C,2533,2703,38.9,3,FUSE,Space-based Telescope,1360,Low Earth Orbit,Success,
18,Boeing36351,Boeing,07/10/99,8:45,Cape Canaveral,88,10,66,Delta II 7420-10C,3020,3099,38.9,3,Globalstar 4,Communication Satellite,550,Low Earth Orbit,Success,
19,Boeing36366,Boeing,07/25/99,7:46,Cape Canaveral,88,0,58,Delta II 7420-10C,3020,3099,38.9,3,Globalstar 5,Communication Satellite,550,Low Earth Orbit,Success,
20,Boeing36379,Boeing,08/07/99,12:51,Cape Canaveral,90,8,62,Delta II 7925,3511,1819,38.1,2.9,USA-145 (GPS IIR-3),Global Positioning System,2032,Medium Earth Orbit,Success,
21,Boeing36389,Boeing,08/17/99,4:37,Cape Canaveral,79,0,89,Delta II 7420-10C,3020,3099,38.9,3,Globalstar 6,Communication Satellite,550,Low Earth Orbit,Success,
22,Boeing36564,Boeing,02/08/00,21:24,Cape Canaveral,57,0,82,Delta II 7920-10C,3511,4800,38.9,3,Globalstar 7,Communication Satellite,550,Low Earth Orbit,Success,
23,Boeing36610,Boeing,03/25/00,20:34,Vandenberg ,47,3,86,Delta II 7326,2533,934,38.1,2.9,IMAGE,Research Satellite,210,Polar Orbit,Success,
24,Boeing36657,Boeing,05/11/00,1:48,Cape Canaveral,72,5,94,Delta II 7925,3511,1819,38.1,2.9,USA-150 (GPS IIR-4),Global Positioning System,2032,Medium Earth Orbit,Success,
25,Boeing36723,Boeing,07/16/00,9:17,Cape Canaveral,88,12,70,Delta II 7925,3511,1819,38.1,2.9,USA-151 (GPS IIR-5),Global Positioning System,2032,Medium Earth Orbit,Success,
26,Boeing36761,Boeing,08/23/00,11:05,Cape Canaveral,NA,NA,NA,Delta III 8930,628,8290,35,4,DM F3,Test Satellite,4348,Medium Earth Orbit,Success,
27,Boeing36840,Boeing,11/10/00,17:14,Cape Canaveral,75,6,73,Delta II 7925,3511,1819,38.1,2.9,USA-154 (GPS IIR-6),Global Positioning System,2032,Medium Earth Orbit,Success,
28,Boeing36851,Boeing,11/21/00,18:24,Vandenberg ,45,0,100,Delta II 7320-10C,2533,2703,38.9,3,EO-1,Earth Observation Satellite,673,Low Earth Orbit,Success,
29,Boeing36921,Boeing,01/30/01,7:55,Cape Canaveral,68,15,83,Delta II 7925,3511,1819,38.1,2.9,USA-156 (GPS IIR-7),Global Positioning System,2032,Medium Earth Orbit,Success,
30,Boeing36988,Boeing,04/07/01,15:02,Cape Canaveral,78,15,64,Delta II 7925,3511,1819,38.1,2.9,Mars Odyssey,Orbiting Robotic Spacecraft,758,Mars Orbit,Success,
31,Boeing37029,Boeing,05/18/01,17:45,Cape Canaveral,80,9,67,Delta II 7925,3511,1819,38.1,2.9,GeoLITE,Earth Observation Satellite,1800,Geostationary Transfer Orbit,Success,
32,Boeing37072,Boeing,06/30/01,19:46,Cape Canaveral,81,9,82,Delta II 7425-10C,3020,1073,38.9,3,WMAP,Microwave Anisotropy Probe,835,Earth-Moon L2,Success,
33,Boeing37111,Boeing,08/08/01,16:13,Cape Canaveral,87,9,65,Delta II 7326,2533,934,38.1,2.9,Genesis,Solar wind particles sample-return probe,636,Heliocentric Orbit,Success,
34,Boeing37182,Boeing,10/18/01,18:51,Vandenberg ,56,0,97,Delta II 7320-10C,2533,2703,38.9,3,QuickBird,Earth Observation Satellite,1100,Sun-Synchronous Orbit,Success,
35,Boeing37232,Boeing,12/07/01,15:07,Vandenberg ,71,9,42,Delta II 7920-10C,3511,4800,38.9,3,Jason-1 / TIMED,Earth Observation Satellite,660,Low Earth Orbit,Success,
36,Boeing37298,Boeing,02/11/02,17:43,Vandenberg ,51,0,66,Delta II 7920-10C,3511,4800,38.9,3,Iridium IS-1,Communication Satellite,689,Low Earth Orbit,Success,
37,Boeing37380,Boeing,05/04/02,9:54,Vandenberg ,59,8,67,Delta II 7920-10C,3511,4800,38.9,3,Aqua,Research Satellite,3117,Low Earth Orbit,Success,
38,Boeing37440,Boeing,07/03/02,6:47,Cape Canaveral,76,3,87,Delta II 7425,3020,1110,38.1,2.9,CONTOUR,Space Probe,328,Heliocentric Orbit,Success,
39,Boeing37580,Boeing,11/20/02,22:39,Cape Canaveral,72,5,73,"Delta IV Medium+ (4,2)",4895,6390,62.5,4,Eutelsat W5,Communication Satellite,3170,Geostationary Transfer Orbit,Success,
40,Boeing37634,Boeing,01/13/03,0:45,Vandenberg ,50,0,100,Delta II 7320-10C,2533,2703,38.9,3,ICESat,Research Satellite,970,Sun-Synchronous Orbit,Success,
41,Boeing38342,Boeing,12/21/04,21:50,Cape Canaveral,62,5,83,Delta IV Heavy,9411,28370,72,5.1,DemoSat / 3CS-1 & 2,Research Satellite,NA,Geostationary Transfer Orbit,Failure,Common Booster Cores shutdown prematurely putting the payloads in a lower than planned orbit
42,Brazilian Space Agency35736,Brazilian Space Agency,11/02/97,NA,AlcÃ¢ntara Launch Center,NA,NA,NA,VLS-1,623,380,19,1,SCD-2A,Research Satellites,115,Low Earth Orbit,Failure,malfunction of the first stage
43,Brazilian Space Agency36505,Brazilian Space Agency,12/11/99,19:40,AlcÃ¢ntara Launch Center,84,12,84,VLS-1,623,380,19,1,SACI-2,Research Satellites,80,Low Earth Orbit,Failure,malfunction of the second stage
44,Brazilian Space Agency37858,Brazilian Space Agency,08/25/03,NA,AlcÃ¢ntara Launch Center,83,10,85,VLS-1,623,380,19,1,"SATEC, UNOSAT",Research Satellites,74,Low Earth Orbit,Failure,"launcher exploded on the pad two days before the launch, killing 21 people"
45,European Space Agency29364,European Space Agency,05/23/80,14:29, Guiana Space Centre,NA,NA,NA,Ariane 1,2772,1850,50,NA,CAT-2 / Amsat P3A / Firewheel Subsat,Communication Satellite,NA,Geostationary Transfer Orbit,Failure,Combustion instability that had occurred in one of the Viking first stage engines.
46,European Space Agency30203,European Space Agency,09/09/82,2:12, Guiana Space Centre,NA,NA,NA,Ariane 1,2772,1850,50,NA,MARCES-B / Sirio-2,Communication Satellite,1710,Geostationary Transfer Orbit,Failure,Third stage turbopump malfunction.
47,Martin Marietta34247,Martin Marietta,10/05/93,17:56,Vandenberg ,62,12,89,Titan II(23)G,1900,3600,42.9,3,Landsat 6,Enhanced Thematic Mapper,2750,Sun-Synchronous Orbit,Failure,"The kickstage was off axis during its burn, resulting in a failure to achieve orbit."
48,SpaceX38800,SpaceX,03/24/06,22:30,Marshall Islands,86,9,74,Falcon 1,343,470,22.25,1.5,FalconSAT-2,Research Satellite,19.5,Low Earth Orbit,Failure,Engine Fire During Launch
49,SpaceX39162,SpaceX,03/21/07,1:10,Marshall Islands,NA,NA,NA,Falcon 1,343,470,22.25,1.5,DemoSat,Mass simulator,NA,Low Earth Orbit,Failure,Engine Shutdown During Launch
50,SpaceX39663,SpaceX,08/03/08,3:34,Marshall Islands,NA,NA,NA,Falcon 1,343,470,22.25,1.5,Trailblazer,Communication Satellite,NA,Low Earth Orbit,Failure,Collision During Launch
53,SpaceX39719,SpaceX,09/28/08,23:15,Marshall Islands,NA,NA,NA,Falcon 1,343,470,22.25,1.5,RatSat (DemoSat),,165,Low Earth Orbit,Success,
54,SpaceX40008,SpaceX,07/14/09,3:35,Marshall Islands,NA,NA,NA,Falcon 1,343,470,22.25,1.5,RazakSAT,Weather Satellite,180,Low Earth Orbit,Success,
55,SpaceX40333,SpaceX,06/04/10,18:45,Cape Canaveral,78,7,88,Falcon 9 (v1.0),4940,10450,54.9,5.2,Dragon Spacecraft Qualification Unit,,NA,Low Earth Orbit,Success,
56,SpaceX40520,SpaceX,12/08/10,15:43,Cape Canaveral,61,8,40,Falcon 9 (v1.0),4940,10450,54.9,5.2,SpaceX CRS (Dragon C1),Space Station Supplies,NA,Low Earth Orbit,Success,
57,SpaceX41051,SpaceX,05/22/12,7:44,Cape Canaveral,74,0,74,Falcon 9 (v1.0),4940,10450,54.9,5.2,SpaceX CRS (Dragon C2+),Space Station Supplies,NA,Low Earth Orbit,Success,
58,SpaceX41190,SpaceX,10/08/12,0:35,Cape Canaveral,77,5,100,Falcon 9 (v1.0),4940,10450,54.9,5.2,Orbcomm-OG2,Communication Satellite,150,Low Earth Orbit,Failure,Engine Failure During Flight
60,SpaceX41334,SpaceX,03/01/13,15:10,Cape Canaveral,62,13,45,Falcon 9 (v1.0),4940,10450,54.9,5.2,SpaceX CRS-2,Space Station Supplies,677,Low Earth Orbit,Success,
61,SpaceX41546,SpaceX,09/29/13,16:00,Vandenberg ,68,13,59,Falcon 9 (v1.1),5885,13150,68.4,5.2,CASSIOPE,Communication/Research Satellite,500,Polar Orbit,Success,
62,SpaceX41611,SpaceX,12/03/13,22:41,Cape Canaveral,68,5,96,Falcon 9 (v1.1),5885,4850,68.4,5.2,SES-8,Communication Satellite,3170,Geostationary Transfer Orbit,Success,
63,SpaceX41645,SpaceX,01/06/14,22:06,Cape Canaveral,50,17,41,Falcon 9 (v1.1),5885,4850,68.4,5.2,Thaicom 6,Communication Satellite,3325,Geostationary Transfer Orbit,Success,
64,SpaceX41747,SpaceX,04/18/14,19:25,Cape Canaveral,69,0,93,Falcon 9 (v1.1),5885,13150,68.4,5.2,SpaceX CRS-3,Space Station Supplies,2296,Low Earth Orbit,Success,
65,SpaceX41834,SpaceX,07/14/14,15:15,Cape Canaveral,88,16,65,Falcon 9 (v1.1),5885,13150,68.4,5.2,OG2 Mission 1 (6 OG2 Satellites),Communication Satellite,NA,Low Earth Orbit,Success,
66,SpaceX41856,SpaceX,08/05/14,8:00,Cape Canaveral,83,12,79,Falcon 9 (v1.1),5885,4850,68.4,5.2,AsiaSat 8,Communication Satellite,4535,Geostationary Transfer Orbit,Success,
67,SpaceX41889,SpaceX,09/07/14,5:00,Cape Canaveral,75,3,90,Falcon 9 (v1.1),5885,4850,68.4,5.2,AsiaSat 6,Communication Satellite,4428,Geostationary Transfer Orbit,Success,
68,SpaceX41903,SpaceX,09/21/14,5:52,Cape Canaveral,73,0,93,Falcon 9 (v1.1),5885,4850,68.4,5.2,SpaceX CRS-4,Space Station Supplies,2216,Geostationary Transfer Orbit,Success,
69,SpaceX42014,SpaceX,01/10/15,9:47,Cape Canaveral,63,12,60,Falcon 9 (v1.1),5885,13150,68.4,5.2,SpaceX CRS-5,Space Station Supplies,2395,Low Earth Orbit,Success,
70,SpaceX42046,SpaceX,02/11/15,23:03,Cape Canaveral,51,0,83,Falcon 9 (v1.1),5885,4850,68.4,5.2,DSCOVR,Weather Satellite,570,Sun/Earth Orbit,Success,
71,SpaceX42065,SpaceX,03/02/15,3:50,Cape Canaveral,65,3,100,Falcon 9 (v1.1),5885,13150,68.4,5.2,ABS-3A,Communication Satellite,4159,Geostationary Transfer Orbit,Success,
73,SpaceX42109,SpaceX,04/15/15,20:10,Cape Canaveral,77,5,84,Falcon 9 (v1.1),5885,13150,68.4,5.2,SpaceX CRS-6,Space Station Supplies,1898,Low Earth Orbit,Success,
74,SpaceX42121,SpaceX,04/27/15,23:03,Cape Canaveral,74,6,74,Falcon 9 (v1.1),5885,4850,68.4,5.2,TurkmenAlem 52E/MonacoSAT,Communication Satellite,4707,Geostationary Transfer Orbit,Success,
